lsat-ar	nbmarg	123	10713609	Qwen3-4B-sw-lsat50-nbmarg-lr2e5-clip05-b02-t10_simpl-nb_123
lsat-ar	nbmarg	234	10713610	Qwen3-4B-sw-lsat50-nbmarg-lr2e5-clip05-b02-t10_simpl-nb_234
lsat-ar	nbmarg	345	10713611	Qwen3-4B-sw-lsat50-nbmarg-lr2e5-clip05-b02-t10_simpl-nb_345
race-c	nbmarg	123	10740466	Qwen3-4B-sw-race50-nbmarg-lr2e5-clip05-b02-t10_simpl-nb_123
race-c	nbmarg	234	10713616	Qwen3-4B-sw-race50-nbmarg-lr2e5-clip05-b02-t10_simpl-nb_234
race-c	nbmarg	345	10713617	Qwen3-4B-sw-race50-nbmarg-lr2e5-clip05-b02-t10_simpl-nb_345
lsat-ar	cotn16	123	10713629	Qwen3-4B-sw-lsat50-cotn16-lr2e5-clip05-b02-t10_cot-only_123
lsat-ar	cotn16	234	10713630	Qwen3-4B-sw-lsat50-cotn16-lr2e5-clip05-b02-t10_cot-only_234
lsat-ar	cotn16	345	10713631	Qwen3-4B-sw-lsat50-cotn16-lr2e5-clip05-b02-t10_cot-only_345
race-c	cotn16	123	10713632	Qwen3-4B-sw-race50-cotn16-lr2e5-clip05-b02-t10_cot-only_123
race-c	cotn16	234	10713633	Qwen3-4B-sw-race50-cotn16-lr2e5-clip05-b02-t10_cot-only_234
race-c	cotn16	345	10713634	Qwen3-4B-sw-race50-cotn16-lr2e5-clip05-b02-t10_cot-only_345
lsat-ar	flatsimpl	123	10747646	Qwen3-4B-sw-lsat50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_123
lsat-ar	flatsimpl	234	10747649	Qwen3-4B-sw-lsat50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_234
lsat-ar	flatsimpl	345	10747653	Qwen3-4B-sw-lsat50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_345
race-c	flatsimpl	123	10747656	Qwen3-4B-sw-race50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_123
race-c	flatsimpl	234	10747659	Qwen3-4B-sw-race50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_234
race-c	flatsimpl	345	10747662	Qwen3-4B-sw-race50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_345
lsat-ar	nbmargurs1	123	10748142	Qwen3-4B-sw-lsat50-nbmargurs1-lr2e5-clip05-b02-t10_simpl-nb_123
lsat-ar	nbmargurs1	234	10748145	Qwen3-4B-sw-lsat50-nbmargurs1-lr2e5-clip05-b02-t10_simpl-nb_234
lsat-ar	nbmargurs1	345	10748148	Qwen3-4B-sw-lsat50-nbmargurs1-lr2e5-clip05-b02-t10_simpl-nb_345
quail	cotn16	123	10784892	Qwen3-4B-sw-quail50-cotn16-lr2e5-clip05-b02-t10_cot-only_123
quail	cotn16	234	10784893	Qwen3-4B-sw-quail50-cotn16-lr2e5-clip05-b02-t10_cot-only_234
quail	cotn16	345	10784894	Qwen3-4B-sw-quail50-cotn16-lr2e5-clip05-b02-t10_cot-only_345
quail	flatsimpl	123	10784895	Qwen3-4B-sw-quail50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_123
quail	flatsimpl	234	10784897	Qwen3-4B-sw-quail50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_234
quail	flatsimpl	345	10784898	Qwen3-4B-sw-quail50-flatsimpl-lr2e5-clip05-b02-t10_simpl-nb_345
race-c	flatsimplv3	123	10795025	Qwen3-4B-sw-race50-flatsimplv3-lr2e5-clip05-b02-t10_simpl-nb_123
race-c	flatsimplv3	234	10795026	Qwen3-4B-sw-race50-flatsimplv3-lr2e5-clip05-b02-t10_simpl-nb_234
race-c	flatsimplv3	345	10795027	Qwen3-4B-sw-race50-flatsimplv3-lr2e5-clip05-b02-t10_simpl-nb_345
lsat-ar	flatsplit-u4c12	123	10803194	Qwen3-4B-sw-lsat50-flatsplit-u4c12-lr2e5-clip05-b02-t10_simpl-split_123
lsat-ar	flatsplit-u4c12	234	10803195	Qwen3-4B-sw-lsat50-flatsplit-u4c12-lr2e5-clip05-b02-t10_simpl-split_234
lsat-ar	flatsplit-u4c12	345	10803196	Qwen3-4B-sw-lsat50-flatsplit-u4c12-lr2e5-clip05-b02-t10_simpl-split_345
lsat-ar	flatsplit-uevery4	123	10803197	Qwen3-4B-sw-lsat50-flatsplit-uevery4-lr2e5-clip05-b02-t10_simpl-split_123
lsat-ar	flatsplit-uevery4	234	10803198	Qwen3-4B-sw-lsat50-flatsplit-uevery4-lr2e5-clip05-b02-t10_simpl-split_234
lsat-ar	flatsplit-uevery4	345	10803199	Qwen3-4B-sw-lsat50-flatsplit-uevery4-lr2e5-clip05-b02-t10_simpl-split_345
race-c	flatsplitv3-u4c12	123	10856579	Qwen3-4B-sw-race50-flatsplitv3-u4c12-lr2e5-clip05-b02-t10_simpl-split_123
race-c	flatsplitv3-u4c12	234	10856580	Qwen3-4B-sw-race50-flatsplitv3-u4c12-lr2e5-clip05-b02-t10_simpl-split_234
race-c	flatsplitv3-u4c12	345	10856581	Qwen3-4B-sw-race50-flatsplitv3-u4c12-lr2e5-clip05-b02-t10_simpl-split_345
